4294967295,1,1,1
27,6,5,35,1389465623,0
26,5,5,33,1389465646,0
32,8,6,42,1389465669,0
26,6,5,34,1389465692,0
28,7,6,37,1389465715,0
28,7,6,37,1389465738,0
29,7,6,38,1389465761,0
29,7,6,38,1389465784,0
27,6,5,35,1389465807,0
19,4,3,24,1389465830,0
20,4,3,25,1389465853,0
23,4,4,29,1389465876,0
21,4,4,27,1389465899,0
28,6,5,36,1389465922,0
31,7,6,40,1389465945,0
31,7,6,40,1389465968,0
31,7,6,40,1389465991,0
31,7,6,40,1389466014,0
30,7,6,39,1389466037,0
30,7,6,39,1389466060,0
30,7,6,39,1389466083,0
31,7,6,40,1389466106,0
30,7,6,39,1389466129,0
30,7,6,39,1389466152,0
31,7,6,40,1389466175,0
31,7,6,40,1389466198,0
31,7,6,40,1389466221,0
30,7,6,39,1389466244,0
30,7,6,39,1389466267,0
29,7,6,38,1389466290,0
32,7,6,41,1389466313,0
29,7,5,38,1389466336,0
31,7,6,40,1389466359,0
32,7,6,41,1389466382,0
75,23,23,101,1389466405,0
37,11,15,50,1389466428,0
4,1,1,5,1389466451,0
17,4,4,22,1389466474,0
8,2,2,10,1389466497,0
25,7,6,33,1389466520,0
11,3,2,14,1389466543,0
11,3,3,14,1389466566,0
13,3,3,17,1389466589,0
4,1,2,5,1389466612,0
36,10,8,47,1389466635,0
73,22,17,97,1389466658,0
8,2,1,10,1389466681,0
9,2,2,11,1389466704,0
76,37,37,109,1389466727,0
17,5,4,22,1389466750,0
9,2,2,11,1389466773,0
9,4,3,12,1389466796,0
17,6,4,22,1389466819,0
35,10,8,46,1389466842,0
28,12,11,39,1389466865,0
42,14,14,57,1389466888,0
15,4,4,20,1389466911,0
56,25,21,78,1389466934,0
38,18,15,53,1389466957,0
48,20,22,67,1389466980,0
33,12,8,44,1389467003,0
64,24,22,88,1389467026,0
29,9,9,39,1389467049,0
20,7,5,27,1389467072,0
34,11,12,46,1389467095,0
21,5,4,27,1389467118,0
38,11,10,50,1389467141,1
23,8,5,30,1389467164,0
12,4,3,16,1389467187,0
13,6,4,18,1389467210,0
7,3,3,9,1389467233,0
11,6,4,15,1389467256,0
6,3,3,8,1389467279,0
9,6,4,13,1389467302,0
11,4,3,14,1389467325,0
14,9,6,20,1389467348,0
4,3,2,5,1389467371,0
9,8,5,13,1389467394,0
8,6,4,11,1389467417,0
7,5,3,10,1389467440,0
23,9,6,31,1389467463,0
26,10,9,35,1389467486,0
21,8,6,28,1389467509,0
37,11,10,49,1389467532,0
24,7,6,32,1389467555,0
44,13,12,59,1389467578,0
43,15,11,58,1389467601,0
30,11,8,40,1389467624,0
8,3,3,11,1389467647,0
5,2,2,6,1389467670,0
13,5,4,17,1389467693,0
29,11,9,39,1389467716,0
26,8,9,35,1389467739,0
84,32,32,116,1389467762,0
101,36,29,137,1389467785,0
101,36,29,137,1389467808,0
104,37,30,141,1389467831,0
89,33,26,121,1389467854,0
92,32,28,125,1389467877,0
99,35,28,134,1389467900,0
106,41,30,144,1389467923,0
110,45,32,151,1389467946,0
93,38,31,128,1389467969,0
120,53,50,169,1389467992,0
46,17,14,62,1389468015,0
45,16,13,61,1389468038,0
50,18,16,68,1389468061,0
52,19,16,71,1389468084,0
54,20,18,74,1389468107,0
75,31,28,104,1389468130,0
101,48,46,143,1389468153,0
122,60,62,175,1389468176,0
84,34,29,116,1389468199,0
68,27,18,92,1389468222,0
75,32,25,104,1389468245,0
68,33,35,97,1389468268,0
73,33,33,103,1389468291,0
90,36,36,125,1389468314,0
110,49,47,155,1389468337,0
28,10,9,38,1389468360,0
28,10,8,38,1389468383,0
